NAME,state,place
"Birmingham city, Alabama",1,7000
"Dothan city, Alabama",1,21184
"Huntsville city, Alabama",1,37000
"Mobile city, Alabama",1,50000
"Montgomery city, Alabama",1,51000
"Tuscaloosa city, Alabama",1,77256
"Anchorage municipality, Alaska",2,3000
"Avondale city, Arizona",4,4720
"Buckeye city, Arizona",4,7940
"Chandler city, Arizona",4,12000
"Gilbert town, Arizona",4,27400
"Glendale city, Arizona",4,27820
"Mesa city, Arizona",4,46000
"Peoria city, Arizona",4,54050
"Phoenix city, Arizona",4,55000
"San Tan Valley CDP, Arizona",4,64210
"Scottsdale city, Arizona",4,65000
"Surprise city, Arizona",4,71510
"Tempe city, Arizona",4,73000
"Tucson city, Arizona",4,77000
"Yuma city, Arizona",4,85540
"Conway city, Arkansas",5,15190
"Fayetteville city, Arkansas",5,23290
"Fort Smith city, Arkansas",5,24550
"Jonesboro city, Arkansas",5,35710
"Little Rock city, Arkansas",5,41000
"Rogers city, Arkansas",5,60410
"Springdale city, Arkansas",5,66080
"Alameda city, California",6,562
"Alhambra city, California",6,884
"Anaheim city, California",6,2000
"Antioch city, California",6,2252
"Apple Valley town, California",6,2364
"Arden-Arcade CDP, California",6,2553
"Bakersfield city, California",6,3526
"Baldwin Park city, California",6,3666
"Bellflower city, California",6,4982
"Berkeley city, California",6,6000
"Buena Park city, California",6,8786
"Burbank city, California",6,8954
"Camarillo city, California",6,10046
"Carson city, California",6,11530
"Castro Valley CDP, California",6,11964
"Chico city, California",6,13014
"Chino city, California",6,13210
"Chino Hills city, California",6,13214
"Chula Vista city, California",6,13392
"Clovis city, California",6,14218
"Compton city, California",6,15044
"Concord city, California",6,16000
"Corona city, California",6,16350
"Costa Mesa city, California",6,16532
"Daly City city, California",6,17918
"Davis city, California",6,18100
"Downey city, California",6,19766
"East Los Angeles CDP, California",6,20802
"El Cajon city, California",6,21712
"Elk Grove city, California",6,22020
"El Monte city, California",6,22230
"Escondido city, California",6,22804
"Fairfield city, California",6,23182
"Folsom city, California",6,24638
"Fontana city, California",6,24680
"Fremont city, California",6,26000
"Fresno city, California",6,27000
"Fullerton city, California",6,28000
"Garden Grove city, California",6,29000
"Glendale city, California",6,30000
"Hawthorne city, California",6,32548
"Hayward city, California",6,33000
"Hemet city, California",6,33182
"Hesperia city, California",6,33434
"Huntington Beach city, California",6,36000
"Indio city, California",6,36448
"Inglewood city, California",6,36546
"Irvine city, California",6,36770
"Jurupa Valley city, California",6,37692
"Lake Elsinore city, California",6,39486
"Lakewood city, California",6,39892
"Lancaster city, California",6,40130
"Lodi city, California",6,42202
"Long Beach city, California",6,43000
"Los Angeles city, California",6,44000
"Madera city, California",6,45022
"Manteca city, California",6,45484
"Menifee city, California",6,46842
"Merced city, California",6,46898
"Milpitas city, California",6,47766
"Modesto city, California",6,48354
"Moreno Valley city, California",6,49270
"Murrieta city, California",6,50076
"Napa city, California",6,50258
"Norwalk city, California",6,52526
"Oakland city, California",6,53000
"Oceanside city, California",6,53322
"Ontario city, California",6,53896
"Orange city, California",6,53980
"Oxnard city, California",6,54652
"Palmdale city, California",6,55156
"Pasadena city, California",6,56000
"Perris city, California",6,56700
"Pittsburg city, California",6,57456
"Pleasanton city, California",6,57792
"Pomona city, California",6,58072
"Rancho Cordova city, California",6,59444
"Rancho Cucamonga city, California",6,59451
"Redding city, California",6,59920
"Redlands city, California",6,59962
"Redondo Beach city, California",6,60018
"Redwood City city, California",6,60102
"Rialto city, California",6,60466
"Richmond city, California",6,60620
"Riverside city, California",6,62000
"Rocklin city, California",6,62364
"Roseville city, California",6,62938
"Sacramento city, California",6,64000
"Salinas city, California",6,64224
"San Bernardino city, California",6,65000
"San Buenaventura (Ventura) city, California",6,65042
"San Diego city, California",6,66000
"San Francisco city, California",6,67000
"San Jose city, California",6,68000
"San Leandro city, California",6,68084
"San Marcos city, California",6,68196
"San Mateo city, California",6,68252
"Santa Ana city, California",6,69000
"Santa Barbara city, California",6,69070
"Santa Clara city, California",6,69084
"Santa Clarita city, California",6,69088
"Santa Maria city, California",6,69196
"Santa Monica city, California",6,70000
"Santa Rosa city, California",6,70098
"Simi Valley city, California",6,72016
"South Gate city, California",6,73080
"Stockton city, California",6,75000
"Sunnyvale city, California",6,77000
"Temecula city, California",6,78120
"Thousand Oaks city, California",6,78582
"Torrance city, California",6,80000
"Tracy city, California",6,80238
"Tulare city, California",6,80644
"Turlock city, California",6,80812
"Tustin city, California",6,80854
"Union City city, California",6,81204
"Upland city, California",6,81344
"Vacaville city, California",6,81554
"Vallejo city, California",6,81666
"Victorville city, California",6,82590
"Visalia city, California",6,82954
"Vista city, California",6,82996
"West Covina city, California",6,84200
"Westminster city, California",6,84550
"Whittier city, California",6,85292
