,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
homeownership_rate,-0.17087147998078792,-0.25223862744509207,0.557198198925177,0.3231305716276101,0.26468880460182426,0.02854028087201559,0.2696292871327068,0.051159620034165264,0.498245931048718,0.1997055559511698,0.20582883609597877,-0.12492644307519818
median_gross_rent,-0.34432132590152964,-0.06250748226921854,-0.34576664335485974,0.37108378226698513,-0.14674928983782842,-0.347252427232783,0.09951509837848273,0.06898858677029865,-0.20487754626546711,-0.15785980519293227,0.4875055659449756,-0.39867205568972275
rent_burden_rate,0.14853911072718703,-0.19266382084467207,-0.3515047712969173,0.6126570783232188,-0.027964574624167703,0.5609215972136268,0.07661319673689457,0.2500237967549235,-0.03326263420250153,0.030472879615897095,-0.2101101976814001,0.10924584179448814
vacancy_rate,0.2632742812175932,0.3426581386156258,0.21484866255647678,0.21291869753546983,-0.1289477907377016,-0.40790236301776267,-0.1324141456627074,0.7044144327311082,-0.008792954071579293,0.10534007534497065,-0.09769601789003508,0.06568336469522054
poverty_rate,0.4398069971606846,0.10468093413409946,-0.07280378520207718,0.020155605766363043,-0.024509214361976384,0.07527694007839215,0.013835894402542877,-0.1863688220731279,-0.15971813292811857,0.6251336245712737,0.5631679182256067,0.12350280931411087
gini_index,0.2295978877346514,0.49930140066510575,-0.20026841294899173,0.19666020827036912,-0.06331049198418465,-0.011835407287935862,-0.013569451857345599,-0.27150562539929074,0.6039008861410988,-0.3719422003405713,0.16580035060077428,0.1030799672872841
median_household_income,-0.42883913345279373,0.03787811814777819,-0.16553377907568131,0.1486424379202408,-0.019220635786163946,-0.315078930686507,0.22418096955166802,-0.11334669890747973,0.01744790208523448,0.225767775250957,-0.10735141702221684,0.734586719447435
childhood_poverty_rate,0.34273592079484455,-0.012140674333626214,-0.028997350770604897,-0.1391832731371986,-0.07790791316880863,-0.12489674556028602,0.8873371052057496,0.018897196608400234,-0.10954491851311748,-0.14386496319749473,-0.12196216218626953,-0.07215812246226744
labor_force_participation_rate,-0.280091560254052,0.1004185356658157,-0.30641424087520597,-0.48977963508580896,0.0012825605469330649,0.3060343582328835,0.15031085384492734,0.5262768274963808,0.31331712863349775,0.10619524429779147,0.27250160933649237,0.027740803735029497
youth_unemployment_rate,0.16601283132010217,-0.03734357864807002,-0.32486942232610877,-0.014405123982777613,0.8932552589472753,-0.23783911964757118,-0.04681398611040904,0.0764295883274623,-0.012551260318914643,-0.023274710047042006,-0.039893363160271936,-0.02239163648841719
hs_or_higher_rate,-0.1941003145607144,0.45983318692200537,0.3450066845519926,0.09408545320657917,0.2788948574391202,0.34713894850656074,0.12425031721265745,0.049213780224165,-0.4558028517262731,-0.3093548450358178,0.2585013327343227,0.19123100119999856
bachelors_or_higher_rate,-0.2639427481556252,0.5414493717898388,-0.09028009592381057,0.08779907720843771,0.06525329583810151,0.07857021802948416,0.12558206098381688,-0.16440096787118752,0.0006218958411084768,0.4635213240328331,-0.3905937834405318,-0.447953030460718
