NAME,state,place,cluster_gmm,cluster_kmeans,GMM_p_k0,GMM_p_k1,GMM_p_k2,GMM_p_k3,GMM_p_k4,GMM_p_k5,GMM_p_k6,GMM_p_k7
"Birmingham city, Alabama",1,7000,5,2,0.0,7.324208092884933e-21,1.6845115017396385e-14,0.0,0.0049544824661665685,0.9874232185169316,1.063446881136905e-20,0.007622299016884171
"Dothan city, Alabama",1,21184,7,2,0.0,2.2389495374741037e-36,9.502306836391661e-08,0.0,0.0012570100497182588,1.1253553086378526e-12,1.6483310561564284e-08,0.9987428784427774
"Huntsville city, Alabama",1,37000,4,5,0.0,3.542957379197673e-06,0.0004533109850473849,0.0,0.9995428073005005,2.6896056847421204e-25,1.0332243331841755e-19,3.3875707372673385e-07
"Mobile city, Alabama",1,50000,7,2,0.0,2.1747101249923746e-21,6.257567235745511e-08,0.0,0.0028830379333283722,0.0004267149383108334,2.4994442840579308e-08,0.9966901595582452
"Montgomery city, Alabama",1,51000,7,2,0.0,8.332159149372641e-40,3.7066825851759616e-10,0.0,0.00013925557791218436,1.539953853129589e-09,6.575596734897627e-05,0.9997949865441171
"Tuscaloosa city, Alabama",1,77256,6,7,0.0,1.4443247570327654e-32,1.2157982341333948e-17,0.0,5.1814163381783535e-19,1.0799965031706195e-41,1.0,1.3265041018730057e-16
"Anchorage municipality, Alaska",2,3000,2,3,0.0,0.0038238148193133134,0.9948022919477895,0.0,0.0013738932328959041,6.019116321545381e-94,4.017296362408337e-41,7.526548904336568e-16
"Avondale city, Arizona",4,4720,3,3,0.0,6.907470459254911e-12,9.524822905628839e-07,0.9999984610661745,5.86444069774543e-07,4.1768625233918725e-21,1.1085896423322754e-50,5.574181094627771e-13
"Buckeye city, Arizona",4,7940,3,0,0.0,1.17080934078772e-08,1.0117698048825733e-05,0.9999898705938575,8.002898115060715e-32,5.762210881635228e-98,5.706825186737447e-188,3.77077471550638e-49
"Chandler city, Arizona",4,12000,1,3,0.0,0.9680480717985639,0.028516202666558004,0.0,0.003435725534878413,1.493438855709565e-65,5.216908626101251e-37,1.4851651960060637e-19
