city_idx,nominal_label,stability_rate,city
0,5,0.597,"Birmingham city, Alabama"
1,7,0.947,"Dothan city, Alabama"
2,4,1.0,"Huntsville city, Alabama"
3,7,0.841,"Mobile city, Alabama"
4,7,0.95,"Montgomery city, Alabama"
5,6,0.999,"Tuscaloosa city, Alabama"
6,2,0.919,"Anchorage municipality, Alaska"
7,3,1.0,"Avondale city, Arizona"
8,3,1.0,"Buckeye city, Arizona"
9,1,0.898,"Chandler city, Arizona"
10,2,0.962,"Gilbert town, Arizona"
11,2,1.0,"Glendale city, Arizona"
12,4,0.962,"Mesa city, Arizona"
13,2,1.0,"Peoria city, Arizona"
14,2,1.0,"Phoenix city, Arizona"
15,3,1.0,"San Tan Valley CDP, Arizona"
16,4,1.0,"Scottsdale city, Arizona"
17,2,0.999,"Surprise city, Arizona"
18,4,0.998,"Tempe city, Arizona"
19,7,0.956,"Tucson city, Arizona"
20,7,0.76,"Yuma city, Arizona"
21,3,1.0,"Conway city, Arkansas"
22,3,1.0,"Fayetteville city, Arkansas"
23,3,1.0,"Fort Smith city, Arkansas"
24,3,0.932,"Jonesboro city, Arkansas"
25,4,0.932,"Little Rock city, Arkansas"
26,3,1.0,"Rogers city, Arkansas"
27,3,0.997,"Springdale city, Arkansas"
28,1,0.28,"Alameda city, California"
29,3,1.0,"Alhambra city, California"
30,2,1.0,"Anaheim city, California"
31,2,1.0,"Antioch city, California"
32,3,1.0,"Apple Valley town, California"
33,3,1.0,"Arden-Arcade CDP, California"
34,2,1.0,"Bakersfield city, California"
35,3,1.0,"Baldwin Park city, California"
36,3,1.0,"Bellflower city, California"
37,4,1.0,"Berkeley city, California"
38,3,1.0,"Buena Park city, California"
39,3,1.0,"Burbank city, California"
40,3,1.0,"Camarillo city, California"
41,3,1.0,"Carson city, California"
42,3,0.901,"Castro Valley CDP, California"
43,6,0.941,"Chico city, California"
44,3,1.0,"Chino city, California"
45,3,1.0,"Chino Hills city, California"
46,2,1.0,"Chula Vista city, California"
47,2,0.985,"Clovis city, California"
48,2,1.0,"Compton city, California"
49,2,0.978,"Concord city, California"
50,2,0.963,"Corona city, California"
51,2,0.793,"Costa Mesa city, California"
52,3,1.0,"Daly City city, California"
53,5,0.624,"Davis city, California"
54,3,1.0,"Downey city, California"
55,2,0.996,"East Los Angeles CDP, California"
56,2,0.815,"El Cajon city, California"
57,2,0.991,"Elk Grove city, California"
58,2,0.964,"El Monte city, California"
59,2,1.0,"Escondido city, California"
60,2,0.968,"Fairfield city, California"
61,3,0.994,"Folsom city, California"
62,2,1.0,"Fontana city, California"
63,1,1.0,"Fremont city, California"
64,2,0.994,"Fresno city, California"
65,2,1.0,"Fullerton city, California"
66,2,1.0,"Garden Grove city, California"
67,2,0.971,"Glendale city, California"
68,3,1.0,"Hawthorne city, California"
69,2,0.999,"Hayward city, California"
70,3,1.0,"Hemet city, California"
71,2,1.0,"Hesperia city, California"
72,1,0.534,"Huntington Beach city, California"
73,7,0.955,"Indio city, California"
74,3,1.0,"Inglewood city, California"
75,1,1.0,"Irvine city, California"
76,2,1.0,"Jurupa Valley city, California"
77,3,1.0,"Lake Elsinore city, California"
78,3,1.0,"Lakewood city, California"
79,2,1.0,"Lancaster city, California"
80,3,1.0,"Lodi city, California"
81,2,0.999,"Long Beach city, California"
82,6,0.699,"Los Angeles city, California"
83,3,0.998,"Madera city, California"
84,3,1.0,"Manteca city, California"
85,3,1.0,"Menifee city, California"
86,6,0.678,"Merced city, California"
87,1,0.813,"Milpitas city, California"
88,2,1.0,"Modesto city, California"
89,2,1.0,"Moreno Valley city, California"
90,2,1.0,"Murrieta city, California"
91,3,1.0,"Napa city, California"
92,2,1.0,"Norwalk city, California"
93,4,0.702,"Oakland city, California"
94,2,0.958,"Oceanside city, California"
95,2,1.0,"Ontario city, California"
96,2,0.976,"Orange city, California"
97,2,1.0,"Oxnard city, California"
98,2,1.0,"Palmdale city, California"
99,1,0.936,"Pasadena city, California"
100,3,1.0,"Perris city, California"
101,3,1.0,"Pittsburg city, California"
102,1,0.479,"Pleasanton city, California"
103,2,1.0,"Pomona city, California"
104,2,0.566,"Rancho Cordova city, California"
105,2,0.95,"Rancho Cucamonga city, California"
106,3,1.0,"Redding city, California"
107,3,1.0,"Redlands city, California"
108,3,0.851,"Redondo Beach city, California"
109,1,0.789,"Redwood City city, California"
110,2,1.0,"Rialto city, California"
111,2,1.0,"Richmond city, California"
112,2,1.0,"Riverside city, California"
113,3,1.0,"Rocklin city, California"
114,2,0.997,"Roseville city, California"
115,2,1.0,"Sacramento city, California"
116,2,0.937,"Salinas city, California"
117,2,0.96,"San Bernardino city, California"
118,2,0.988,"San Buenaventura (Ventura) city, California"
119,1,0.857,"San Diego city, California"
120,1,1.0,"San Francisco city, California"
121,1,1.0,"San Jose city, California"
122,3,0.998,"San Leandro city, California"
123,3,1.0,"San Marcos city, California"
124,1,0.616,"San Mateo city, California"
125,2,1.0,"Santa Ana city, California"
126,3,1.0,"Santa Barbara city, California"
127,1,1.0,"Santa Clara city, California"
128,1,0.793,"Santa Clarita city, California"
129,6,0.627,"Santa Maria city, California"
130,3,0.965,"Santa Monica city, California"
131,2,0.999,"Santa Rosa city, California"
132,1,0.814,"Simi Valley city, California"
133,3,1.0,"South Gate city, California"
134,2,1.0,"Stockton city, California"
135,1,0.974,"Sunnyvale city, California"
136,3,1.0,"Temecula city, California"
137,1,1.0,"Thousand Oaks city, California"
138,1,0.582,"Torrance city, California"
139,2,1.0,"Tracy city, California"
140,3,1.0,"Tulare city, California"
141,3,1.0,"Turlock city, California"
142,3,1.0,"Tustin city, California"
143,3,1.0,"Union City city, California"
144,3,1.0,"Upland city, California"
145,2,0.917,"Vacaville city, California"
146,3,1.0,"Vallejo city, California"
147,2,0.999,"Victorville city, California"
148,2,0.999,"Visalia city, California"
149,3,1.0,"Vista city, California"
150,2,0.988,"West Covina city, California"
151,3,1.0,"Westminster city, California"
152,3,1.0,"Whittier city, California"
153,3,1.0,"Yuba City city, California"
154,1,0.717,"Arvada city, Colorado"
155,2,1.0,"Aurora city, Colorado"
156,1,0.972,"Centennial city, Colorado"
157,4,0.709,"Colorado Springs city, Colorado"
158,4,0.957,"Denver city, Colorado"
159,3,1.0,"Grand Junction city, Colorado"
