city_idx,nominal_label,stability_rate,city
0,2,0.995,"Birmingham city, Alabama"
1,2,0.987,"Dothan city, Alabama"
2,5,0.376,"Huntsville city, Alabama"
3,2,0.985,"Mobile city, Alabama"
4,2,1.0,"Montgomery city, Alabama"
5,7,1.0,"Tuscaloosa city, Alabama"
6,3,1.0,"Anchorage municipality, Alaska"
7,3,0.627,"Avondale city, Arizona"
8,0,0.85,"Buckeye city, Arizona"
9,3,0.788,"Chandler city, Arizona"
10,3,0.63,"Gilbert town, Arizona"
11,4,0.655,"Glendale city, Arizona"
12,4,0.571,"Mesa city, Arizona"
13,0,0.985,"Peoria city, Arizona"
14,4,0.812,"Phoenix city, Arizona"
15,0,0.68,"San Tan Valley CDP, Arizona"
16,5,0.835,"Scottsdale city, Arizona"
17,0,0.999,"Surprise city, Arizona"
18,5,0.999,"Tempe city, Arizona"
19,4,1.0,"Tucson city, Arizona"
20,4,0.95,"Yuma city, Arizona"
21,5,0.513,"Conway city, Arkansas"
22,5,0.651,"Fayetteville city, Arkansas"
23,4,1.0,"Fort Smith city, Arkansas"
24,2,0.896,"Jonesboro city, Arkansas"
25,5,0.51,"Little Rock city, Arkansas"
26,3,0.7,"Rogers city, Arkansas"
27,4,0.993,"Springdale city, Arkansas"
28,6,1.0,"Alameda city, California"
29,3,0.519,"Alhambra city, California"
30,1,0.999,"Anaheim city, California"
31,0,1.0,"Antioch city, California"
32,0,0.755,"Apple Valley town, California"
33,5,0.991,"Arden-Arcade CDP, California"
34,1,0.989,"Bakersfield city, California"
35,1,1.0,"Baldwin Park city, California"
36,3,0.516,"Bellflower city, California"
37,5,1.0,"Berkeley city, California"
38,0,0.992,"Buena Park city, California"
39,5,0.736,"Burbank city, California"
40,0,0.904,"Camarillo city, California"
41,0,0.906,"Carson city, California"
42,6,0.895,"Castro Valley CDP, California"
43,7,1.0,"Chico city, California"
44,0,1.0,"Chino city, California"
45,6,0.753,"Chino Hills city, California"
46,0,1.0,"Chula Vista city, California"
47,0,0.975,"Clovis city, California"
48,1,1.0,"Compton city, California"
49,0,1.0,"Concord city, California"
50,0,0.999,"Corona city, California"
51,6,0.999,"Costa Mesa city, California"
52,6,0.68,"Daly City city, California"
53,5,1.0,"Davis city, California"
54,0,0.68,"Downey city, California"
55,1,1.0,"East Los Angeles CDP, California"
56,1,1.0,"El Cajon city, California"
57,0,1.0,"Elk Grove city, California"
58,1,1.0,"El Monte city, California"
59,0,1.0,"Escondido city, California"
60,0,1.0,"Fairfield city, California"
61,6,0.68,"Folsom city, California"
62,0,1.0,"Fontana city, California"
63,6,1.0,"Fremont city, California"
64,7,1.0,"Fresno city, California"
65,0,1.0,"Fullerton city, California"
66,1,1.0,"Garden Grove city, California"
67,5,1.0,"Glendale city, California"
68,1,1.0,"Hawthorne city, California"
69,0,0.999,"Hayward city, California"
70,1,0.933,"Hemet city, California"
71,1,0.934,"Hesperia city, California"
72,6,0.895,"Huntington Beach city, California"
73,4,0.824,"Indio city, California"
74,1,0.999,"Inglewood city, California"
75,6,1.0,"Irvine city, California"
76,1,0.921,"Jurupa Valley city, California"
77,0,0.968,"Lake Elsinore city, California"
78,3,0.551,"Lakewood city, California"
79,1,0.927,"Lancaster city, California"
80,0,0.714,"Lodi city, California"
81,5,0.974,"Long Beach city, California"
82,5,1.0,"Los Angeles city, California"
83,1,1.0,"Madera city, California"
84,0,0.997,"Manteca city, California"
85,0,1.0,"Menifee city, California"
86,7,1.0,"Merced city, California"
87,6,1.0,"Milpitas city, California"
88,1,0.802,"Modesto city, California"
89,1,0.518,"Moreno Valley city, California"
90,0,0.825,"Murrieta city, California"
91,0,0.92,"Napa city, California"
92,0,0.991,"Norwalk city, California"
93,5,1.0,"Oakland city, California"
94,0,1.0,"Oceanside city, California"
95,0,0.968,"Ontario city, California"
96,0,0.998,"Orange city, California"
97,1,1.0,"Oxnard city, California"
98,1,1.0,"Palmdale city, California"
99,5,0.956,"Pasadena city, California"
100,1,0.641,"Perris city, California"
101,1,0.677,"Pittsburg city, California"
102,6,1.0,"Pleasanton city, California"
103,1,1.0,"Pomona city, California"
104,4,0.855,"Rancho Cordova city, California"
105,0,1.0,"Rancho Cucamonga city, California"
106,4,0.891,"Redding city, California"
107,0,0.518,"Redlands city, California"
108,6,1.0,"Redondo Beach city, California"
109,6,1.0,"Redwood City city, California"
110,1,0.967,"Rialto city, California"
111,0,0.797,"Richmond city, California"
112,0,0.993,"Riverside city, California"
113,0,0.788,"Rocklin city, California"
114,0,1.0,"Roseville city, California"
115,0,0.971,"Sacramento city, California"
116,1,1.0,"Salinas city, California"
117,1,1.0,"San Bernardino city, California"
118,0,0.875,"San Buenaventura (Ventura) city, California"
119,6,1.0,"San Diego city, California"
120,6,1.0,"San Francisco city, California"
121,6,1.0,"San Jose city, California"
122,0,0.687,"San Leandro city, California"
123,0,0.996,"San Marcos city, California"
124,6,1.0,"San Mateo city, California"
125,1,1.0,"Santa Ana city, California"
126,5,0.977,"Santa Barbara city, California"
127,6,1.0,"Santa Clara city, California"
128,0,0.812,"Santa Clarita city, California"
129,1,1.0,"Santa Maria city, California"
130,6,1.0,"Santa Monica city, California"
131,0,1.0,"Santa Rosa city, California"
132,0,0.672,"Simi Valley city, California"
133,1,1.0,"South Gate city, California"
134,1,0.981,"Stockton city, California"
135,6,1.0,"Sunnyvale city, California"
136,0,0.627,"Temecula city, California"
137,6,0.8,"Thousand Oaks city, California"
138,0,0.686,"Torrance city, California"
139,0,1.0,"Tracy city, California"
140,1,0.955,"Tulare city, California"
141,1,0.377,"Turlock city, California"
142,6,0.994,"Tustin city, California"
143,0,0.732,"Union City city, California"
144,3,0.897,"Upland city, California"
145,0,1.0,"Vacaville city, California"
146,1,0.562,"Vallejo city, California"
147,1,0.999,"Victorville city, California"
148,0,0.787,"Visalia city, California"
149,0,0.938,"Vista city, California"
150,0,1.0,"West Covina city, California"
151,1,1.0,"Westminster city, California"
152,0,0.889,"Whittier city, California"
153,4,0.46,"Yuba City city, California"
154,3,0.896,"Arvada city, Colorado"
155,0,0.936,"Aurora city, Colorado"
156,6,0.761,"Centennial city, Colorado"
157,3,1.0,"Colorado Springs city, Colorado"
158,5,1.0,"Denver city, Colorado"
159,3,0.597,"Grand Junction city, Colorado"
160,4,0.684,"Greeley city, Colorado"
161,3,0.983,"Lakewood city, Colorado"
162,3,1.0,"Longmont city, Colorado"
163,4,0.714,"Pueblo city, Colorado"
164,0,0.818,"Thornton city, Colorado"
165,3,0.997,"Westminster city, Colorado"
166,7,0.927,"Bridgeport city, Connecticut"
167,0,0.498,"Danbury city, Connecticut"
168,7,1.0,"Hartford city, Connecticut"
169,4,0.991,"New Britain city, Connecticut"
170,7,1.0,"New Haven city, Connecticut"
171,6,0.58,"Norwalk city, Connecticut"
172,6,0.63,"Stamford city, Connecticut"
173,2,0.912,"Waterbury city, Connecticut"
174,5,0.463,"Wilmington city, Delaware"
175,5,1.0,"Washington city, District of Columbia"
176,5,0.848,"Boca Raton city, Florida"
177,0,0.805,"Boynton Beach city, Florida"
178,0,0.506,"Brandon CDP, Florida"
179,0,0.998,"Cape Coral city, Florida"
180,5,0.767,"Clearwater city, Florida"
181,0,0.972,"Coral Springs city, Florida"
182,5,0.938,"Davie town, Florida"
183,2,0.994,"Daytona Beach city, Florida"
184,5,0.942,"Deerfield Beach city, Florida"
185,5,0.99,"Delray Beach city, Florida"
186,0,1.0,"Deltona city, Florida"
187,6,0.93,"Doral city, Florida"
188,5,0.934,"Fort Lauderdale city, Florida"
189,2,0.907,"Fort Myers city, Florida"
190,1,1.0,"Hialeah city, Florida"
191,5,0.997,"Hollywood city, Florida"
192,1,0.996,"Homestead city, Florida"
193,4,1.0,"Jacksonville city, Florida"
194,3,0.724,"Kendall CDP, Florida"
195,1,0.538,"Kissimmee city, Florida"
196,4,0.711,"Lakeland city, Florida"
197,2,0.828,"Largo city, Florida"
198,1,0.911,"Lauderhill city, Florida"
199,1,0.663,"Lehigh Acres CDP, Florida"
200,4,0.425,"Melbourne city, Florida"
201,5,1.0,"Miami city, Florida"
202,5,1.0,"Miami Beach city, Florida"
203,1,0.996,"Miami Gardens city, Florida"
204,0,0.924,"Miramar city, Florida"
205,0,0.947,"North Port city, Florida"
206,2,0.886,"Ocala city, Florida"
207,5,1.0,"Orlando city, Florida"
208,0,1.0,"Palm Bay city, Florida"
209,0,0.999,"Palm Coast city, Florida"
210,0,0.895,"Pembroke Pines city, Florida"
211,6,0.41,"Plantation city, Florida"
212,2,0.858,"Pompano Beach city, Florida"
213,0,0.977,"Port Orange city, Florida"
214,0,0.946,"Port St. Lucie city, Florida"
215,0,0.739,"Riverview CDP, Florida"
216,5,0.96,"St. Petersburg city, Florida"
217,3,0.825,"Sanford city, Florida"
218,0,0.975,"Spring Hill CDP, Florida"
219,0,0.754,"Sunrise city, Florida"
220,7,0.95,"Tallahassee city, Florida"
221,0,0.913,"Tamarac city, Florida"
222,5,1.0,"Tampa city, Florida"
223,4,0.27,"Town 'n' Country CDP, Florida"
224,5,1.0,"West Palm Beach city, Florida"
225,2,1.0,"Albany city, Georgia"
226,5,0.804,"Athens-Clarke County unified government (balance), Georgia"
227,5,1.0,"Atlanta city, Georgia"
228,2,0.682,"Augusta-Richmond County consolidated government (balance), Georgia"
229,2,0.622,"Columbus city, Georgia"
230,3,0.689,"Mableton city, Georgia"
