NAME,state,place,cluster_gmm,cluster_kmeans,GMM_p_k0,GMM_p_k1,GMM_p_k2,GMM_p_k3,GMM_p_k4,GMM_p_k5
"Birmingham city, Alabama",1,7000,3,5,1.0831467523777257e-14,1.969845369409551e-05,1.4130991375490813e-16,0.9999803015462944,0.0,7.515708454480628e-107
"Dothan city, Alabama",1,21184,3,5,7.251619394008751e-09,6.585613152566881e-08,6.764791698195547e-23,0.9999999268922499,0.0,1.2796236510822072e-40
"Huntsville city, Alabama",1,37000,1,3,0.0003395879264365075,0.9371370975043952,0.00015102275530313745,0.06237229181386485,0.0,7.56381486244922e-77
"Mobile city, Alabama",1,50000,3,5,1.7653159113308412e-08,2.3830399495297094e-05,7.807009287927328e-16,0.999976151947345,0.0,1.978046272650989e-17
"Montgomery city, Alabama",1,51000,3,5,5.0229958806365035e-09,5.225291605738731e-09,3.1835735302470064e-29,0.9999997570904837,0.0,2.3266122911799606e-07
"Tuscaloosa city, Alabama",1,77256,5,5,2.953088887248459e-16,3.3019912455020625e-18,5.296039128565249e-33,5.09788569560651e-12,0.0,0.9999999999949019
"Anchorage municipality, Alaska",2,3000,2,0,0.0006443352413085753,1.360345844213912e-05,0.9993420613002116,3.7640237749853664e-14,0.0,2.1564525165043334e-193
"Avondale city, Arizona",4,4720,4,4,2.413671325162111e-06,1.3523336194121599e-14,9.235747930218708e-07,1.1180299202149644e-11,0.9999966627426884,1.0672854305057862e-297
"Buckeye city, Arizona",4,7940,4,4,9.254133884019435e-13,2.30007343003834e-56,0.00015390852801658764,4.257537127748822e-43,0.9998460914710582,0.0
"Chandler city, Arizona",4,12000,2,0,0.04722401408462721,9.143582504010531e-05,0.9526845500903331,1.7540724468260165e-18,0.0,1.583197464553983e-136
"Gilbert town, Arizona",4,27400,0,0,0.7818810310561285,1.6313894240698615e-05,0.21810265504962997,4.77881948431279e-30,0.0,0.0
"Glendale city, Arizona",4,27820,0,3,0.9920264605410329,1.966505147049075e-08,0.007968485138385701,5.034655529844573e-06,0.0,1.0276166299756244e-148
"Mesa city, Arizona",4,46000,1,3,0.0028937567543909034,0.9970753240528,8.165841373660336e-06,2.275335143581562e-05,0.0,1.2505119631398657e-122
"Peoria city, Arizona",4,54050,0,4,0.9997597544329725,0.00023446700492087678,5.7785621071633544e-06,2.983188126337933e-17,0.0,4.569574e-317
"Phoenix city, Arizona",4,55000,0,3,0.9987220981959574,0.0011907107721406609,3.2930130251483595e-05,5.42609016507567e-05,0.0,2.1734849695969245e-125
"San Tan Valley CDP, Arizona",4,64210,4,4,1.7651876122194636e-08,4.530177281374974e-32,4.2983812046477365e-06,1.2390397219611162e-36,0.9999956839669195,0.0
"Scottsdale city, Arizona",4,65000,1,2,9.017479017760383e-10,0.9999964819336031,3.517164648875839e-06,4.924267146700651e-16,0.0,3.2791928325531958e-199
"Surprise city, Arizona",4,71510,0,4,0.993163294397911,0.00035324319218064715,0.006483462409909048,8.341774214473319e-27,0.0,4.448287e-317
"Tempe city, Arizona",4,73000,1,2,0.00017509363671277484,0.997785491662511,7.717089056572984e-05,0.001962243810211324,0.0,6.322108145667374e-124
"Tucson city, Arizona",4,77000,3,3,0.0006992215529617426,0.003250479255231459,5.258149773502413e-07,0.9960497733768291,0.0,3.595944884953439e-57
