city_idx,nominal_label,stability_rate,city
0,3,0.995,"Birmingham city, Alabama"
1,3,1.0,"Dothan city, Alabama"
2,1,0.628,"Huntsville city, Alabama"
3,3,1.0,"Mobile city, Alabama"
4,3,1.0,"Montgomery city, Alabama"
5,5,0.615,"Tuscaloosa city, Alabama"
6,2,0.965,"Anchorage municipality, Alaska"
7,4,1.0,"Avondale city, Arizona"
8,4,1.0,"Buckeye city, Arizona"
9,2,0.965,"Chandler city, Arizona"
10,0,0.709,"Gilbert town, Arizona"
11,0,1.0,"Glendale city, Arizona"
12,1,0.954,"Mesa city, Arizona"
13,0,0.993,"Peoria city, Arizona"
14,0,1.0,"Phoenix city, Arizona"
15,4,1.0,"San Tan Valley CDP, Arizona"
16,1,0.979,"Scottsdale city, Arizona"
17,0,0.934,"Surprise city, Arizona"
18,1,0.882,"Tempe city, Arizona"
19,3,0.995,"Tucson city, Arizona"
20,3,0.871,"Yuma city, Arizona"
21,4,1.0,"Conway city, Arkansas"
22,4,1.0,"Fayetteville city, Arkansas"
23,4,1.0,"Fort Smith city, Arkansas"
24,4,1.0,"Jonesboro city, Arkansas"
25,3,0.996,"Little Rock city, Arkansas"
26,4,1.0,"Rogers city, Arkansas"
27,4,0.984,"Springdale city, Arkansas"
28,4,0.746,"Alameda city, California"
29,4,1.0,"Alhambra city, California"
30,0,1.0,"Anaheim city, California"
31,0,0.98,"Antioch city, California"
32,4,1.0,"Apple Valley town, California"
33,4,1.0,"Arden-Arcade CDP, California"
34,0,1.0,"Bakersfield city, California"
35,4,1.0,"Baldwin Park city, California"
36,4,1.0,"Bellflower city, California"
37,1,0.999,"Berkeley city, California"
38,4,1.0,"Buena Park city, California"
39,4,1.0,"Burbank city, California"
40,4,1.0,"Camarillo city, California"
41,4,1.0,"Carson city, California"
42,4,0.874,"Castro Valley CDP, California"
43,5,0.531,"Chico city, California"
44,4,1.0,"Chino city, California"
45,4,0.97,"Chino Hills city, California"
46,0,0.99,"Chula Vista city, California"
47,0,0.867,"Clovis city, California"
48,0,1.0,"Compton city, California"
49,0,0.998,"Concord city, California"
50,0,0.981,"Corona city, California"
51,0,0.813,"Costa Mesa city, California"
52,4,1.0,"Daly City city, California"
53,1,0.79,"Davis city, California"
54,4,1.0,"Downey city, California"
55,0,1.0,"East Los Angeles CDP, California"
56,0,0.993,"El Cajon city, California"
57,0,0.94,"Elk Grove city, California"
58,0,1.0,"El Monte city, California"
59,0,1.0,"Escondido city, California"
60,0,0.994,"Fairfield city, California"
61,4,0.959,"Folsom city, California"
62,0,1.0,"Fontana city, California"
63,2,1.0,"Fremont city, California"
64,0,0.982,"Fresno city, California"
65,0,1.0,"Fullerton city, California"
66,0,1.0,"Garden Grove city, California"
67,2,0.834,"Glendale city, California"
68,4,1.0,"Hawthorne city, California"
69,0,1.0,"Hayward city, California"
