city_idx,nominal_label,stability_rate,city
0,5,0.914,"Birmingham city, Alabama"
1,5,0.985,"Dothan city, Alabama"
2,3,0.86,"Huntsville city, Alabama"
3,5,0.955,"Mobile city, Alabama"
4,5,1.0,"Montgomery city, Alabama"
5,5,1.0,"Tuscaloosa city, Alabama"
6,0,0.887,"Anchorage municipality, Alaska"
7,4,0.997,"Avondale city, Arizona"
8,4,1.0,"Buckeye city, Arizona"
9,0,0.974,"Chandler city, Arizona"
10,0,0.999,"Gilbert town, Arizona"
11,3,0.525,"Glendale city, Arizona"
12,3,0.637,"Mesa city, Arizona"
13,4,1.0,"Peoria city, Arizona"
14,3,0.679,"Phoenix city, Arizona"
15,4,0.998,"San Tan Valley CDP, Arizona"
16,2,0.807,"Scottsdale city, Arizona"
17,4,1.0,"Surprise city, Arizona"
18,2,1.0,"Tempe city, Arizona"
19,3,1.0,"Tucson city, Arizona"
20,3,0.837,"Yuma city, Arizona"
21,3,0.753,"Conway city, Arkansas"
22,3,0.752,"Fayetteville city, Arkansas"
23,3,1.0,"Fort Smith city, Arkansas"
24,5,0.844,"Jonesboro city, Arkansas"
25,3,0.571,"Little Rock city, Arkansas"
26,2,0.554,"Rogers city, Arkansas"
27,3,0.974,"Springdale city, Arkansas"
28,0,1.0,"Alameda city, California"
29,0,0.7,"Alhambra city, California"
30,1,0.98,"Anaheim city, California"
31,4,0.999,"Antioch city, California"
32,4,0.966,"Apple Valley town, California"
33,2,0.976,"Arden-Arcade CDP, California"
34,1,0.997,"Bakersfield city, California"
35,1,1.0,"Baldwin Park city, California"
36,3,0.555,"Bellflower city, California"
37,2,1.0,"Berkeley city, California"
38,4,0.99,"Buena Park city, California"
39,2,0.74,"Burbank city, California"
40,4,0.653,"Camarillo city, California"
41,4,1.0,"Carson city, California"
42,0,0.995,"Castro Valley CDP, California"
43,5,0.976,"Chico city, California"
44,4,1.0,"Chino city, California"
45,0,0.978,"Chino Hills city, California"
46,4,1.0,"Chula Vista city, California"
47,4,1.0,"Clovis city, California"
48,1,1.0,"Compton city, California"
49,4,1.0,"Concord city, California"
50,4,1.0,"Corona city, California"
51,0,0.961,"Costa Mesa city, California"
52,0,0.943,"Daly City city, California"
53,2,0.999,"Davis city, California"
54,4,0.855,"Downey city, California"
55,1,1.0,"East Los Angeles CDP, California"
56,1,1.0,"El Cajon city, California"
57,4,1.0,"Elk Grove city, California"
58,1,1.0,"El Monte city, California"
59,4,0.994,"Escondido city, California"
60,4,0.996,"Fairfield city, California"
61,0,0.968,"Folsom city, California"
62,4,1.0,"Fontana city, California"
63,0,1.0,"Fremont city, California"
64,1,1.0,"Fresno city, California"
65,4,0.991,"Fullerton city, California"
66,1,1.0,"Garden Grove city, California"
67,2,1.0,"Glendale city, California"
68,1,0.992,"Hawthorne city, California"
69,4,0.982,"Hayward city, California"
70,1,0.906,"Hemet city, California"
71,1,0.909,"Hesperia city, California"
72,0,1.0,"Huntington Beach city, California"
73,3,0.747,"Indio city, California"
74,1,0.999,"Inglewood city, California"
75,0,1.0,"Irvine city, California"
76,1,0.785,"Jurupa Valley city, California"
77,4,1.0,"Lake Elsinore city, California"
78,4,0.547,"Lakewood city, California"
79,1,0.94,"Lancaster city, California"
80,4,0.911,"Lodi city, California"
81,2,0.978,"Long Beach city, California"
82,2,1.0,"Los Angeles city, California"
83,1,1.0,"Madera city, California"
84,4,1.0,"Manteca city, California"
85,4,1.0,"Menifee city, California"
86,1,0.796,"Merced city, California"
87,0,1.0,"Milpitas city, California"
88,1,0.601,"Modesto city, California"
89,4,0.819,"Moreno Valley city, California"
90,4,0.878,"Murrieta city, California"
91,4,0.72,"Napa city, California"
92,4,1.0,"Norwalk city, California"
93,2,1.0,"Oakland city, California"
94,4,0.999,"Oceanside city, California"
95,4,0.998,"Ontario city, California"
96,4,0.962,"Orange city, California"
97,1,1.0,"Oxnard city, California"
98,1,1.0,"Palmdale city, California"
99,2,0.996,"Pasadena city, California"
100,4,0.826,"Perris city, California"
101,1,0.608,"Pittsburg city, California"
102,0,1.0,"Pleasanton city, California"
103,1,1.0,"Pomona city, California"
104,3,0.71,"Rancho Cordova city, California"
105,4,0.966,"Rancho Cucamonga city, California"
106,3,0.989,"Redding city, California"
107,0,0.549,"Redlands city, California"
108,0,1.0,"Redondo Beach city, California"
109,0,1.0,"Redwood City city, California"
110,1,0.899,"Rialto city, California"
111,4,0.694,"Richmond city, California"
112,4,0.973,"Riverside city, California"
113,0,0.557,"Rocklin city, California"
114,4,0.989,"Roseville city, California"
115,4,0.982,"Sacramento city, California"
116,1,1.0,"Salinas city, California"
117,1,1.0,"San Bernardino city, California"
118,4,0.789,"San Buenaventura (Ventura) city, California"
119,0,0.978,"San Diego city, California"
120,0,1.0,"San Francisco city, California"
121,0,1.0,"San Jose city, California"
122,4,0.767,"San Leandro city, California"
123,4,0.948,"San Marcos city, California"
124,0,1.0,"San Mateo city, California"
125,1,1.0,"Santa Ana city, California"
126,2,0.986,"Santa Barbara city, California"
127,0,1.0,"Santa Clara city, California"
128,0,0.721,"Santa Clarita city, California"
129,1,1.0,"Santa Maria city, California"
130,0,0.998,"Santa Monica city, California"
131,4,1.0,"Santa Rosa city, California"
132,0,0.682,"Simi Valley city, California"
133,1,1.0,"South Gate city, California"
134,1,1.0,"Stockton city, California"
135,0,1.0,"Sunnyvale city, California"
136,0,0.667,"Temecula city, California"
137,0,0.999,"Thousand Oaks city, California"
138,0,0.694,"Torrance city, California"
139,4,1.0,"Tracy city, California"
140,1,0.999,"Tulare city, California"
141,4,0.593,"Turlock city, California"
142,0,1.0,"Tustin city, California"
143,0,0.561,"Union City city, California"
144,0,0.871,"Upland city, California"
145,4,0.999,"Vacaville city, California"
146,4,0.49,"Vallejo city, California"
147,1,0.999,"Victorville city, California"
148,4,0.974,"Visalia city, California"
149,4,0.967,"Vista city, California"
150,4,0.999,"West Covina city, California"
151,1,1.0,"Westminster city, California"
152,4,1.0,"Whittier city, California"
153,3,0.529,"Yuba City city, California"
154,0,1.0,"Arvada city, Colorado"
155,4,1.0,"Aurora city, Colorado"
156,0,0.999,"Centennial city, Colorado"
157,4,0.876,"Colorado Springs city, Colorado"
158,2,1.0,"Denver city, Colorado"
159,4,0.797,"Grand Junction city, Colorado"
160,3,0.539,"Greeley city, Colorado"
161,0,0.533,"Lakewood city, Colorado"
162,0,0.917,"Longmont city, Colorado"
163,3,0.692,"Pueblo city, Colorado"
164,4,0.989,"Thornton city, Colorado"
165,0,0.968,"Westminster city, Colorado"
166,1,0.863,"Bridgeport city, Connecticut"
167,4,0.628,"Danbury city, Connecticut"
168,5,1.0,"Hartford city, Connecticut"
169,3,1.0,"New Britain city, Connecticut"
170,5,1.0,"New Haven city, Connecticut"
171,0,0.876,"Norwalk city, Connecticut"
172,2,0.683,"Stamford city, Connecticut"
173,5,0.93,"Waterbury city, Connecticut"
174,3,0.51,"Wilmington city, Delaware"
